TeamName,CompName,Season,Goals,Goals_Against,Position,Best_Teams
Udinese Calcio,Serie A,2018-2019,39,53,12°,0
Torino FC,Serie A,2018-2019,52,37,7°,1
Bologna FC 1909,Serie A,2018-2019,48,56,10°,1
SPAL 2013,Serie A,2018-2019,44,56,13°,0
ACF Fiorentina,Serie A,2018-2019,47,45,16°,0
Genoa CFC,Serie A,2018-2019,39,57,17°,0
SS Lazio,Serie A,2018-2019,56,46,8°,1
Frosinone Calcio,Serie A,2018-2019,29,69,19°,0
UC Sampdoria,Serie A,2018-2019,60,51,9°,1
Atalanta BC,Serie A,2018-2019,77,46,3°,1
Empoli FC,Serie A,2018-2019,51,70,18°,0
Cagliari Calcio,Serie A,2018-2019,36,54,15°,0
AS Roma,Serie A,2018-2019,66,48,6°,1
SSC Napoli,Serie A,2018-2019,74,36,2°,1
Internazionale,Serie A,2018-2019,57,33,4°,1
AC Milan,Serie A,2018-2019,55,36,5°,1
AC ChievoVerona,Serie A,2018-2019,25,75,20°,0
Juventus FC,Serie A,2018-2019,70,30,1°,1
US Sassuolo Calcio,Serie A,2018-2019,53,60,11°,0
Parma FC,Serie A,2018-2019,41,61,14°,0
US Sassuolo Calcio,Serie A,2017-2018,29,59,11°,0
Juventus FC,Serie A,2017-2018,86,24,1°,1
AC ChievoVerona,Serie A,2017-2018,36,59,13°,0
AC Milan,Serie A,2017-2018,56,42,6°,1
Internazionale,Serie A,2017-2018,66,30,4°,1
SSC Napoli,Serie A,2017-2018,77,29,2°,1
AS Roma,Serie A,2017-2018,61,28,3°,1
Cagliari Calcio,Serie A,2017-2018,33,61,16°,0
Atalanta BC,Serie A,2017-2018,57,39,7°,1
UC Sampdoria,Serie A,2017-2018,56,60,10°,1
SS Lazio,Serie A,2017-2018,89,49,5°,1
Genoa CFC,Serie A,2017-2018,33,43,12°,0
Benevento Calcio,Serie A,2017-2018,33,84,20°,0
ACF Fiorentina,Serie A,2017-2018,54,46,8°,1
FC Crotone,Serie A,2017-2018,40,66,18°,0
SPAL 2013,Serie A,2017-2018,39,59,17°,0
Bologna FC 1909,Serie A,2017-2018,40,52,15°,0
Torino FC,Serie A,2017-2018,54,46,9°,1
Hellas Verona FC,Serie A,2017-2018,30,78,19°,0
Udinese Calcio,Serie A,2017-2018,48,63,14°,0
Udinese Calcio,Serie A,2016-2017,47,56,13°,0
Torino FC,Serie A,2016-2017,71,66,9°,1
Bologna FC 1909,Serie A,2016-2017,40,58,15°,0
FC Crotone,Serie A,2016-2017,34,58,17°,0
ACF Fiorentina,Serie A,2016-2017,63,57,8°,1
Genoa CFC,Serie A,2016-2017,38,64,16°,0
SS Lazio,Serie A,2016-2017,74,51,5°,1
UC Sampdoria,Serie A,2016-2017,49,55,10°,1
Atalanta BC,Serie A,2016-2017,62,41,4°,1
Cagliari Calcio,Serie A,2016-2017,55,76,11°,0
Delfino Pescara 1936,Serie A,2016-2017,37,81,20°,0
Empoli FC,Serie A,2016-2017,29,61,18°,0
AS Roma,Serie A,2016-2017,90,38,2°,1
SSC Napoli,Serie A,2016-2017,94,39,3°,1
Internazionale,Serie A,2016-2017,72,49,7°,1
AC Milan,Serie A,2016-2017,57,45,6°,1
AC ChievoVerona,Serie A,2016-2017,43,61,14°,0
Juventus FC,Serie A,2016-2017,77,27,1°,1
US Sassuolo Calcio,Serie A,2016-2017,58,63,12°,0
US Città di Palermo,Serie A,2016-2017,33,77,19°,0
Huddersfield Town AFC,Premier League,2018-2019,22,76,20°,0
Fulham FC,Premier League,2018-2019,34,81,19°,0
Everton FC,Premier League,2018-2019,54,46,8°,1
Chelsea FC,Premier League,2018-2019,63,39,3°,1
Brighton & Hove Albion FC,Premier League,2018-2019,35,60,17°,0
Newcastle United FC,Premier League,2018-2019,42,48,13°,0
Manchester City FC,Premier League,2018-2019,95,23,1°,1
Burnley FC,Premier League,2018-2019,45,68,15°,0
Leicester City FC,Premier League,2018-2019,51,48,9°,1
Wolverhampton Wanderers FC,Premier League,2018-2019,47,46,7°,1
West Ham United FC,Premier League,2018-2019,52,55,10°,1
Liverpool FC,Premier League,2018-2019,89,22,2°,1
Cardiff City FC,Premier League,2018-2019,34,69,18°,0
AFC Bournemouth,Premier League,2018-2019,56,70,14°,0
Crystal Palace FC,Premier League,2018-2019,51,53,12°,0
Tottenham Hotspur FC,Premier League,2018-2019,67,39,4°,1
Southampton FC,Premier League,2018-2019,45,65,16°,0
Watford FC,Premier League,2018-2019,52,59,11°,0
Manchester United FC,Premier League,2018-2019,65,54,6°,1
Arsenal FC,Premier League,2018-2019,73,51,5°,1
Arsenal FC,Premier League,2017-2018,74,51,6°,1
Stoke City FC,Premier League,2017-2018,35,68,19°,0
Manchester United FC,Premier League,2017-2018,68,28,2°,1
Watford FC,Premier League,2017-2018,44,64,14°,0
Southampton FC,Premier League,2017-2018,37,56,17°,0
Tottenham Hotspur FC,Premier League,2017-2018,74,36,3°,1
Crystal Palace FC,Premier League,2017-2018,45,55,11°,0
AFC Bournemouth,Premier League,2017-2018,45,61,12°,0
West Bromwich Albion FC,Premier League,2017-2018,31,56,20°,0
Liverpool FC,Premier League,2017-2018,84,38,4°,1
West Ham United FC,Premier League,2017-2018,48,68,13°,0
Leicester City FC,Premier League,2017-2018,56,60,9°,1
Burnley FC,Premier League,2017-2018,36,39,7°,1
Manchester City FC,Premier League,2017-2018,106,27,1°,1
Newcastle United FC,Premier League,2017-2018,39,47,10°,1
Brighton & Hove Albion FC,Premier League,2017-2018,34,54,15°,0
Chelsea FC,Premier League,2017-2018,62,38,5°,1
Everton FC,Premier League,2017-2018,44,58,8°,1
Huddersfield Town AFC,Premier League,2017-2018,28,58,16°,0
Swansea City AFC,Premier League,2017-2018,28,56,18°,0
Swansea City AFC,Premier League,2016-2017,45,70,15°,0
Everton FC,Premier League,2016-2017,62,44,7°,1
Chelsea FC,Premier League,2016-2017,85,33,1°,1
Manchester City FC,Premier League,2016-2017,80,39,3°,1
